"contact_id","person_id","address","lat","lon","formatted_address","partial_match","address_type","location_type","postcode_localities","landmark_only","landmark"
"583398","642686","2200 e 83rd street, unincorporated area-los angeles county, ca, 90001, United States",33.9629896,-118.232257,"2200 E 83rd St, Los Angeles, CA 90001, USA",TRUE,"street_address","RANGE_INTERPOLATED",NA,0,NA
"586200","645819","3100 cahuenga boulevard, los angeles, ca, 91201, United States",34.1266456,-118.3453855,"3100 Cahuenga Blvd, Los Angeles, CA 90068, USA",NA,"street_address","RANGE_INTERPOLATED",NA,0,NA
"589711","649726","400 e 70th street, los angeles, ca, 90003, United States",33.9759635,-118.2673289,"400 E 70th St, Los Angeles, CA 90003, USA",NA,"street_address","RANGE_INTERPOLATED",NA,0,NA
"589744","649751","4500 tourmaline street, los angeles, ca, 90032, United States",34.0792984,-118.1917285,"4500 Tourmaline St, Los Angeles, CA 90032, USA",NA,"street_address","RANGE_INTERPOLATED",NA,0,NA
"593427","653786","14800 flatbush, norwalk, ca, , United States",33.8963484,-118.1065314,"14800 Flatbush Ave, Norwalk, CA 90650, USA",NA,"street_address","RANGE_INTERPOLATED",NA,0,NA
"594351","654797","600 brooks avenue, venice, ca, 90291, United States",33.9953963,-118.4688387,"600 Brooks Ave, Venice, CA 90291, USA",NA,"street_address","RANGE_INTERPOLATED",NA,0,NA
"595444","655985","1200 e florence avenue and hooper, los angeles, ca, , United States",33.9744102,-118.2539186,"1200 E Florence Ave, Los Angeles, CA 90001, USA",TRUE,"premise","ROOFTOP",NA,0,NA
"595444","655978","1200 e florence avenue and hooper, los angeles, ca, , United States",33.9744102,-118.2539186,"1200 E Florence Ave, Los Angeles, CA 90001, USA",TRUE,"premise","ROOFTOP",NA,0,NA
"598057","658865","yukon and century, inglewood, ca, , United States",33.945354,-118.334808,"Century / Yukon, Inglewood, CA 90303, USA",NA,"c(""establishment"", ""point_of_interest"", ""transit_station"")","GEOMETRIC_CENTER",NA,0,NA
"600811","661869","elm street and tamarind avenue, compton, ca, 90220, United States",33.8886073,-118.2215395,"S Tamarind Ave, Compton, CA 90220, USA",TRUE,"route","GEOMETRIC_CENTER",NA,0,NA
